Puerto,Coordenadas
Elizabeth,"40.6505778, -74.1779717"
Elkhorn,"41.17, -96.14"
Elko,"32.19, -83.42"
Elmhurst,"42.07, -79.17"
Elmira,"45.03, -84.51"
Elmwood Park,"41.55, -87.48"
El Segundo,"33.9022792, -118.4115472"
El Toro,"33.38, -117.4"
Ely,"41.52, -91.35"
Emlenton,"41.1, -79.42"
Endeavor,"43.42, -89.27"
Erie,"42.1217595, -80.0951285"
Escanaba,"45.7718399, -87.0707871"
Etowah,"35.19, -82.35"
Eufaula,"35.17, -95.35"
Eugene,"38.21, -92.24"
Everett,"42.35, -71.0833333"
Fabens,"31.3, -106.09"
Fairburn,"33.56706, -84.58104"
Fairport,"41.75, -81.2833333"
Fall River,"43.23, -89.02"
Fargo,"41.7, -71.1666667"
Fernandina Beach,"30.6845224, -81.4560711"
Ferndale,"48.8202831, -122.7029278"
Fillmore,"34.23, -118.55"
Findlay,"39.31, -88.45"
Fishersville,"38.05, -78.58"
Fitchburg,"42.57, -89.28"
Flint,"32.12, -95.2"
Flower Mound,"33.02, -97.05"
Foley,"45.39, -93.54"
Fond Du Lac,"43.7818828, -88.4454346"
Forrest,"40.45, -88.24"
Fort Lauderdale,"26.1898259, -80.0968566"
Fort Smith,"35.23, -94.23"
Fort Wayne,"41.02, -85.08"
Fort Worth,"32.768799, -97.309341"
Fosston,"47.34, -95.45"
Freeport,"28.9319744, -95.3119841"
Frewsburg,"42.03, -79.1"
Frontier,"48.59, -117.49"
Gadsden,"33.5, -80.45"
Galion,"40.44, -82.47"
Gallup,"40.6187515, -74.072347"
Galveston,"29.2725515, -94.8264669"
Gardiner,"41.4, -74.09"
Garfield,"47.0166667, -117.1333333"
Gaston,"45.26, -123.08"
Georgetown,"33.35, -79.2833333"
Glen Dale,"39.57, -80.44"
Gloucester,"42.6099712, -70.66804"
Golden Valley,"35.13, -114.12"
Gonzalez,"30.34, -87.17"
Good Hope,"29.9861595, -90.397943"
Goodland,"40.46, -87.18"
Grand Blanc,"42.55, -83.37"
Grand Haven,"43.0666667, -86.2166667"
Grand Rapids,"41.24, -81.52"
Grays Harbor,"46.9333333, -123.85"
Grays River,"46.21, -123.36"
Great Lakes,"30.0395989, -90.612889"
Greenport Harbor,"41.1139685, -72.3431302"
Greenview,"40.05, -89.44"
Grove City,"42.35, -72.0833333"
Gulfport,"30.3618506, -89.0946609"
Gustavus,"58.4166667, -135.8333333"
Hagerstown,"39.54, -85.1"
Haines,"59.25, -135.4468791"
Haleyville,"34.14, -87.38"
Hallandale,"25.58, -80.08"
Hamburg,"41.1534, -74.5762"
Hamlet,"41.32, -86.34"
Hampshire,"35.36, -87.18"
Hampton Roads,"37.0149295, -76.3443165"
Hansboro,"48.57, -99.22"
Hanska,"44.08, -94.29"
Hardwick,"42.3491, -72.1992"
Hatfield,"42.22, -72.36"
Hauppauge,"40.5, -73.12"
Havana,"30.6312, -84.4155"
Haverhill,"44.02, -72.03"
Hawthorne,"28.45, -81.52"
Hempstead,"30.06, -96.05"
High Point,"35.970554, -79.997498"
Hills,"43.31, -96.21"
Hillside,"38.15, -105.36"
Hiwassee,"36.58, -80.42"
Hoboken,"31.11, -82.08"
Hollis,"55.459155, -132.598114"
Home,"59.6610915, -151.5"
Homestead,"40.24, -79.54"
Honolulu,"21.2987548, -157.8663262"
Hooksett,"43.06, -71.28"
Hoonah,"58.11883, -135.3948812"
Horseheads,"42.1, -76.49"
Hospers,"43.04, -95.54"
Houlton,"46.1242, -67.8398"
Houston,"29.7457524, -95.2871564"
Howey In The Hills,"28.7165, -81.7737"
Hueneme,"34.15, -119.2"
Huntingdon Valley,"40.07, -75.03"
Huntington Beach,"33.6626659, -118.0099594"
Huntsville,"30.7118, -95.5513"
Huron,"41.4, -82.5833333"
Hyannis Harbor,"41.6289853, -70.3094277"
Hydaburg,"55.17027, -132.8384399"
Hyrum,"41.38, -111.51"
Idabel,"33.53, -94.49"
Indianapolis,"39.7764, -86.1461"
Iowa City,"41.39, -91.31"
Ithaca,"43.17, -84.36"
Iuka,"34.48, -88.11"
Jacksonville,"30.3247388, -81.6292437"
Jenison,"42.54, -85.49"
Jesup,"42.28, -92.03"
John F. Kennedy Apt/New York,"40.38, -73.46"
Johnston Island Harbour,"16.7666667, -169.5"
Jonesport,"44.31, -67.37"
Joshua,"32.27, -97.23"
Juda,"42.35, -89.3"
Kahului,"20.9, -156.4666667"
Kake,"57.0239266, -134.0027466"
Kalama,"46.0139258, -122.8527275"
Kanawha,"42.56, -93.47"
Kane,"41.6666667, -78.8166667"
Kansas City,"39.099724, -94.578331"
Kawaihae,"20.05, -155.8333333"
Keansburg,"40.26, -74.07"
Kenai,"60.5608014, -151.2227214"
Kenansville,"27.52, -80.59"
Kennewick,"46.2199926, -119.1323098"
Kenosha,"42.5833333, -87.8166667"
Kenvil,"40.53, -74.38"
Kerhonkson,"41.46, -74.17"
Ketchikan,"55.3507545, -131.64814"
Keyport,"47.42, -122.37"
King,"44.2, -89.09"
King Cove,"55.0492133, -162.2974406"
Kings Mountain,"41.9025549, -73.9735305"
Kingsport,"36.32, -82.33"
Klawock,"55.5079637, -133.0993652"
Klickitat,"45.8333333, -121.1166667"
Knik,"61.55, -149.8833333"
Kodiak,"57.7891899, -152.4549316"
Kotzebue,"66.8199572, -162.4960327"
Kouts,"41.19, -87.02"
Kulm,"46.18, -98.56"
La Guardia Apt/New York,"40.46, -73.52"
Laguna Beach,"33.32, -117.46"
Laguna Hills,"33.36, -117.42"
Lake Forest,"33.38, -117.41"
Lake Orion,"42.47, -83.14"
Lanark,"42.06, -89.5"
Landis,"40.0541667, -84.5030556"
Lapeer,"43.03, -83.19"
La Porte,"39.41, -120.59"
Laramie,"41.18, -105.35"
Laredo,"27.3, -99.29"
Las Vegas,"36.04, -115.09"
Lawrenceville,"41.59, -77.07"
Lawton,"42.1, -85.5"
Lenox,"40.53, -94.34"
Lewisburg,"36.59, -86.56"
Libertyville,"40.57, -92.02"
Lilesville,"34.58, -79.59"
Lincolnton,"33.47, -82.28"
Linn,"26.33, -98.07"
Littleton,"36.26, -77.54"
Live Oak,"39.16, -121.4"
Liverpool,"29.17, -95.16"
Livonia,"42.49, -77.4"
Lockeford,"38.09, -121.08"
Lolita,"28.5, -96.32"
Long Beach,"33.73858, -118.1933227"
Long Lake,"43.58, -74.25"
Longview,"46.1095621, -122.9600161"
Loop Terminal,"28.53, -90.01"
Lorain,"41.4532889, -82.1960674"
Los Alamitos,"33.48, -118.04"
Los Angeles,"33.7166667, -118.2833333"
Louisa,"38.05, -82.37"
Louisville,"38.256081, -85.751572"
Lukeville,"31.53, -112.49"
Lumber City,"31.55, -82.4"
Lyme,"43.49, -72.09"
Lynchburg,"34.03, -80.04"
Lynden,"48.56, -122.26"
Madawaska,"47.21, -68.19"
Madill,"34.1, -96.7666667"
Madison Heights,"37.26, -79.07"
Mahrt,"32.08, -85.03"
Malaga,"47.21, -120.11"
Manassas,"32.1, -82.01"
Mandan,"46.49, -100.53"
Manistee,"44.2333333, -86.3333333"
Manitowoc,"44.1, -87.6666667"
Manson,"47.53, -120.09"
Maple Hill,"39.05, -96.01"
Marcus Hook,"39.8116564, -75.4118591"
Marianna,"34.46, -90.45"
Marquette,"46.544669, -87.3956924"
Marrero,"29.9063248, -90.1011166"
Martinez,"38.0166667, -122.1333333"
Massena,"44.9646584, -74.9043077"
Mayo,"35.05, -81.51"
Meigs,"31.04, -84.05"
Mellville,"41.5833333, -71.2833333"
Melrose Park,"40.03, -75.07"
Melville,"41.5783258, -71.2826477"
Memphis,"35.1378763, -90.0595665"
Menominee,"45.06, -87.36"
Menomonee Falls,"43.1, -88.07"
Mentor,"47.41, -96.08"
Meridian,"31.55, -97.39"
Metairie,"29.59, -90.09"
Metlakatla,"55.0889181, -131.583252"
Mexico,"44.39, -70.32"
Miami,"25.7759419, -80.1896693"
Michigan,"48.01, -98.07"
Middlesex,"35.47, -78.12"
Midlothian,"37.3, -77.39"
Millersville,"39.0589559, -76.5710924"
Millington,"43.16, -83.31"
Milwaukee,"43.0166667, -87.8833333"
Mingo,"41.46, -93.17"
Minneapolis/St Paul Apt,"44.53, -93.12"
Minot,"44.05, -70.19"
Mississippi River,"28.9679866, -89.390572"
Mobile,"30.6666667, -88.0333333"
Monroe,"41.9309719, -83.331962"
Montebello,"41.08, -74.07"
Mora,"35.58, -105.19"
Morehead City,"34.7166667, -76.7"
Morgan City,"29.41, -91.12"
Morganton,"34.52, -84.14"
Morrill,"44.26, -69.08"
Morriston,"29.16, -82.26"
Morrisville,"40.2166667, -74.7666667"
Morrow,"45.8333333, -119.7166667"
Moselle,"31.5, -89.14"
Mosinee,"44.47, -89.42"
Moss Landing,"36.8, -121.7833333"
Moundville,"37.45, -94.27"
Mount Olive,"31.44, -89.03"
Muncie,"39.05, -94.44"
Muskegon,"43.2166667, -86.25"
Myerstown,"40.22, -76.18"
Myrtle Grove,"30.25, -87.18"
Naco,"31.2, -109.56"
Nantucket Harbor,"41.2884935, -70.1080533"
Naples,"26.1430374, -81.7952719"
Napoleon,"46.3, -99.46"
Nashville,"42.603609, -85.09049"
Navasota,"30.23, -96.05"
Nawiliwili,"21.9666667, -159.35"
Neah Bay,"48.21, -124.37"
Nenana,"64.5833333, -149.3333333"
Neoga,"39.19, -88.27"
Newark,"40.7323966, -74.1561971"
Newaygo,"43.25, -85.48"
Newbern,"37.04, -80.41"
Newberry,"38.55, -87.01"
New Britain,"40.18, -75.11"
New Franklin,"39.01, -92.45"
New Orleans,"29.9500004, -90.0630588"
New Philadelphia,"40.5, -81.45"
Newport,"41.4820533, -71.3146685"
Newport News,"36.9653492, -76.4174678"
Newport News Hampton,"37.0494664, -76.5000038"
New York,"40.7054754, -74.0176809"
New York Mills,"43.06, -75.17"
Nikiski,"60.6940901, -151.367041"
Norfolk,"36.8527467, -76.3374522"
North,"33.36, -81.06"
North Adams,"42.42, -73.06"
Northborough,"42.19, -71.39"
Northbridge,"42.09, -71.39"
North Charleston,"32.8607914, -79.9646788"
North Lima,"40.56, -80.39"
North Pembroke,"42.05, -70.48"
Northport,"40.9250318, -73.3220329"
North Prairie,"40.943709, -73.3879511"
Oak Bluff,"41.4574622, -70.5619671"
Oakhurst,"37.19, -119.38"
Oakland,"37.8314343, -122.2921055"
Oak Ridge,"36.1, -79.58"
Oberlin,"41.17, -82.13"
Odessa,"47.3333333, -118.6833333"
Ogdensburg,"44.7008424, -75.4747173"
Oklahoma City,"35.4675602, -97.5164276"
Olive Branch,"37.1, -89.21"
Olympia,"47.05, -122.8833333"
Ontonagon,"46.8666667, -89.3"
Orange,"30.0809557, -93.7358633"
Orlando,"28.55, -81.3833333"
Oslo,"27.75996, -80.3990037"
Ostrica,"29.3702574, -89.5347095"
Oswego,"43.4474514, -76.5027496"
Paducah,"37.05, -88.37"
Palmdale,"47.9796564, -122.2204742"
Panama City (Fl),"30.1878823, -85.8108631"
Parlier,"29.8863089, -93.9259679"
Parsippany,"40.51, -74.25"
Parsons,"35.38, -88.07"
Pasadena,"27.8309052, -97.0541194"
Pascagoula,"30.34637, -88.5508754"
Pasco,"46.2257777, -119.1218186"
Patterson,"48.1159165, -123.4221603"
Paulsboro,"39.8476276, -75.2506871"
Pearlington,"30.0017835, -93.9472508"
Pecos,"31.25, -103.29"
Peekskill,"41.17, -73.55"
Pelican,"58.0743095, -136.3596761"
Pellston,"45.33, -84.47"
Pembina,"48.57, -97.15"
Pennsauken,"39.9685082, -75.0692295"
Penns Grove,"39.7164026, -75.4759331"
Philadelphia,"39.8852892, -75.1885529"
Phoenix,"29.7079249, -90.198761"
Pinconning,"43.51, -83.57"
Pine Brook,"40.51, -74.2"
Pinson,"35.29, -88.43"
Pittsburg,"38.0333333, -121.8833333"
Pittsburgh,"29.2275359, -89.2858772"
Plaquemines,"29.4802781, -89.6797144"
Plymouth,"41.95, -70.6666667"
Port Allen,"21.9, -159.6"
Port Arthur,"29.8732223, -93.9395122"
Port Blakely,"47.36, -122.3"
Port Bolivar,"29.22, -94.45"
Port Canaveral,"28.3598846, -80.6094281"
Port Chester Harbor,"40.9833333, -73.6666667"
Port Clyde,"43.9219823, -69.2501883"
Port Elizabeth,"39.18, -74.58"
Port Everglades,"26.0666116, -80.1188278"
Port Fourchon,"29.1076093, -90.2152901"
Port Gamble,"47.8561063, -122.5853939"
Port Gibson,"31.9666667, -90.9833333"
Port Hadlock,"48.01, -122.45"
Port Hueneme,"34.08, -119.11"
Port Huron,"42.971278, -82.4204869"
Port Jefferson,"40.9677035, -73.0696028"
Portland,"45.5504052, -122.7061926"
Portland (Me),"43.6649042, -70.2456952"
Port Lavaca,"28.6341269, -96.6245347"
Port Ludlow,"47.55, -122.41"
Port Manatee,"27.6348549, -82.5445095"
Port Newark,"40.41, -74.07"
Port Orange,"29.08, -80.59"
Port Orchard,"47.32, -122.38"
Port Reading,"40.5523478, -74.2537766"
Port Royal,"32.3713059, -80.6847036"
Port Saint Joe,"29.48, -85.18"
Port San Luis,"35.1666667, -120.75"
Portsmouth,"43.0616516, -70.7178526"
Port St Joe,"29.8196463, -85.3039606"
Port Sulphur,"29.28, -89.41"
Port Townsend,"48.1166667, -122.75"
Port Washington,"43.3833333, -87.9"
Port Wentworth,"32.1416203, -81.14443"
Presidio,"29.33, -104.22"
Presque Isle,"45.18, -83.28"
Provincetown,"42.0542403, -70.1886393"
Racine,"42.7, -87.8333333"
Rapid City,"44.5, -85.16"
Raymondville,"37.2, -91.5"
Red Dog,"67.5833333, -163.9677897"
Redwood City,"37.5395393, -122.2166729"
Reedsburg,"43.32, -89.58"
Reedville,"37.51, -76.16"
Reidsville,"32.05, -82.07"
Reunion,"28.16, -81.36"
Revere,"42.4080469, -70.9931365"
Richardton,"47.4666667, -102.5333333"
Richmond,"37.9359054, -122.4129316"
Ridgeville,"40.17, -85.01"
Riverhead Terminal,"40.979267, -72.6312754"
Riverview,"27.51, -82.19"
Rochester,"43.2273247, -77.589016"
Rockland,"44.1044371, -69.1067134"
Rocky Mount,"35.56, -77.47"
Rome,"41.51, -76.2"
Roseau,"48.5, -95.46"
Rosendale,"41.5, -74.04"
Sabina,"39.29, -83.38"
Sabine,"29.7166667, -93.8666667"
Sacramento,"38.5666667, -121.55"
Saint Cloud,"43.49, -88.1"
Saint Petersburg,"27.46, -82.41"
Salem,"42.5171728, -70.8879516"
Salida,"37.42, -121.05"
Salt Lake City,"40.75, -111.8833333"
San Antonio,"28.3490331, -96.7001859"
Sanderson,"30.08, -102.23"
San Diego,"32.6895422, -117.1115112"
Sand Point,"55.3313805, -160.490387"
Sandwich,"41.7709542, -70.515638"
San Francisco,"37.8081365, -122.4101449"
Santa Barbara,"34.4333333, -119.6666667"
Santa Clarita,"34.23, -118.32"
Sapulpa,"35.59, -96.06"
Sarasota,"27.2, -82.32"
Sasabe,"31.29, -111.32"
Savage,"47.27, -104.21"
Savannah,"32.0865792, -81.0997401"
Saxman,"55.3244805, -131.5934769"
Scotland Neck,"36.07, -77.25"
Seagoville,"32.729, -96.623"
Seattle (Wa),"47.6, -122.33333"
Selby,"38.03, -122.14"
Seldovia,"59.4277459, -151.6727214"
Sergeant Bluff,"42.24, -96.21"
Seward,"60.0917842, -149.4554932"
Sewells Point,"36.9499984, -76.3333336"
Sheboygan Falls,"43.43, -87.48"
Shelton,"40.46, -98.43"
Sims,"35.45, -78.03"
Sitka,"57.0768802, -135.3168538"
Skagway,"59.45, -135.3"
South Charleston,"39.49, -83.38"
Southgate,"39.04, -84.28"
South Kearny,"40.7613122, -74.1369496"
South Louisiana,"30.0038667, -90.4775147"
Sparks,"42.56, -100.15"
Sparrows Point,"39.13, -76.28"
Springdale,"37.11, -112.59"
Spruce Pine,"34.23, -87.43"
Stafford,"38.422932, -77.407997"
Stamford Harbor,"41.0910996, -73.4114538"
Stamps,"41.0289953, -73.5446785"
St Bernard Port,"29.9166667, -89.9166667"
St George,"56.5606131, -169.611735"
St Helens,"45.8670255, -122.7984548"
St Louis,"43.408607, -84.61125"
St Michael,"63.4833333, -162.1666667"
Stockton,"37.95, -121.3166667"
Stoneham,"44.14, -70.5"
Stonington Harbor,"41.3333333, -71.9166667"
Stoughton,"42.55, -89.13"
Stow,"42.09, -79.24"
St Paul,"57.1690888, -170.2503743"
St Petersburg,"41.09, -79.39"
St. Petersburg,"41.09, -79.39"
Strasburg,"39.58, -76.11"
Streator,"29.9354146, -90.3170121"
Stryker,"41.3, -84.24"
Sulligent,"42.1010197, -73.9109865"
Sunny Point Terminal,"33.9878887, -77.9609881"
Sutherlin,"36.37, -79.11"
Tabor City,"34.08, -78.52"
Tacoma,"47.2724837, -122.4625461"
Taconite Harbor,"47.5408077, -90.9331429"
Talladega,"33.26, -86.06"
Tallapoosa,"33.45, -85.17"
Tama,"41.58, -92.34"
Tampa,"27.95, -82.4666667"
Tecate,"32.34, -116.37"
Texas City,"29.3822239, -94.8956909"
The Dalles,"45.6, -121.1666667"
Thorne Bay,"55.6146951, -132.5054169"
Three Forks,"45.53, -111.33"
Toledo,"41.6548683, -83.5380766"
Tongue Point,"48.1630038, -123.6945073"
Trainer,"39.49, -75.24"
Trout River,"44.59, -74.18"
Tryon,"35.12, -82.14"
Tucker,"34.27, -91.57"
Tucson,"32.13, -110.58"
Tulsa,"36.1486111, -95.985"
Turkey,"34.24, -100.54"
Tuscumbia,"34.43, -87.42"
Tyler,"44.16, -96.08"
Umatilla,"45.9, -119.3333333"
Vancouver,"45.6, -122.6666667"
Veblen,"45.52, -97.17"
Venice,"29.3264247, -89.4021014"
Vernon Hills,"42.13, -87.58"
Waddington,"44.8928219, -75.2018854"
Wadesboro,"34.57, -80.04"
Walhalla,"48.55, -97.55"
Walla Walla,"46.0833333, -118.3"
Walnut Grove,"38.14, -121.31"
Walpole,"43.57, -69.33"
Walworth,"42.31, -88.35"
Waukegan,"42.35, -87.8666667"
Wellsburg,"42.27, -92.56"
Wendover,"40.44, -114.02"
West Chicago,"41.53, -88.12"
West Groton,"42.36, -71.37"
Whitman County,"46.9, -117.35"
Whittier,"60.8443701, -148.4910726"
Wichita Falls,"33.54, -98.29"
Wilburton,"34.55, -95.18"
Willapa,"46.4, -123.39"
Willcox,"32.15, -109.5"
Williamson,"33.1, -84.21"
Willow,"35.03, -99.3"
Wilmington,"39.7333333, -75.5333333"
Winston Salem,"36.1333333, -80.2166667"
Winterport,"44.6230704, -68.8558679"
Woodbridge,"42.5333331, -69.983334"
Wood-Ridge,"40.5, -74.05"
Wrangell,"56.45, -132.35"
Wyandotte,"42.212461, -83.1455047"
Wytheville,"36.56, -81.05"
Yakutat,"59.5167892, -139.7177897"
Yarmouth,"43.7915734, -70.1680701"
Yorktown,"37.2308728, -76.5024012"
Yuma,"32.698437, -114.650398"
Zeeland,"45.58, -99.49"
